main_category,time_period,average_rating,rating_count,month,year
All Electronics,1999-11,3.0,1,Nov,1999
All Electronics,1999-12,3.0,4,Dec,1999
All Electronics,2000-02,5.0,1,Feb,2000
All Electronics,2000-03,5.0,2,Mar,2000
All Electronics,2000-04,5.0,1,Apr,2000
All Electronics,2000-05,5.0,2,May,2000
All Electronics,2000-06,4.625,5,Jun,2000
All Electronics,2000-07,3.5,2,Jul,2000
All Electronics,2000-08,3.0,2,Aug,2000
All Electronics,2000-09,4.625,6,Sep,2000
All Electronics,2000-10,3.0,3,Oct,2000
All Electronics,2000-11,4.666666666666667,3,Nov,2000
All Electronics,2000-12,4.8,5,Dec,2000
All Electronics,2001-01,4.333333333333333,3,Jan,2001
All Electronics,2001-02,4.0,2,Feb,2001
All Electronics,2001-03,5.0,2,Mar,2001
All Electronics,2001-04,4.0,2,Apr,2001
All Electronics,2001-05,5.0,2,May,2001
All Electronics,2001-06,4.5,6,Jun,2001
All Electronics,2001-07,5.0,2,Jul,2001
All Electronics,2001-08,3.0,5,Aug,2001
All Electronics,2001-09,3.3333333333333335,3,Sep,2001
All Electronics,2001-10,4.0,3,Oct,2001
All Electronics,2001-11,3.75,8,Nov,2001
All Electronics,2001-12,3.481111111111111,14,Dec,2001
All Electronics,2002-01,4.25,8,Jan,2002
All Electronics,2002-02,2.7,6,Feb,2002
All Electronics,2002-03,4.0,4,Mar,2002
All Electronics,2002-04,3.7,8,Apr,2002
All Electronics,2002-05,5.0,1,May,2002
All Electronics,2002-06,4.166666666666667,7,Jun,2002
All Electronics,2002-07,4.134,7,Jul,2002
All Electronics,2002-08,3.1875,9,Aug,2002
All Electronics,2002-09,3.25,4,Sep,2002
All Electronics,2002-10,3.5,5,Oct,2002
All Electronics,2002-11,3.125,9,Nov,2002
All Electronics,2002-12,4.534000000000001,10,Dec,2002
All Electronics,2003-01,4.125,8,Jan,2003
All Electronics,2003-02,4.6,5,Feb,2003
All Electronics,2003-03,4.222222222222222,11,Mar,2003
All Electronics,2003-04,4.0,3,Apr,2003
All Electronics,2003-05,4.571428571428571,7,May,2003
All Electronics,2003-06,4.142857142857143,7,Jun,2003
All Electronics,2003-07,4.1,10,Jul,2003
All Electronics,2003-08,3.375,13,Aug,2003
All Electronics,2003-09,2.392857142857143,11,Sep,2003
All Electronics,2003-10,4.3125,10,Oct,2003
All Electronics,2003-11,3.7222222222222223,12,Nov,2003
All Electronics,2003-12,2.6785714285714284,17,Dec,2003
All Electronics,2004-01,3.454285714285714,26,Jan,2004
All Electronics,2004-02,4.25,8,Feb,2004
All Electronics,2004-03,3.3,6,Mar,2004
All Electronics,2004-04,3.4545454545454546,13,Apr,2004
All Electronics,2004-05,2.75,4,May,2004
All Electronics,2004-06,2.95,13,Jun,2004
All Electronics,2004-07,3.4450000000000003,8,Jul,2004
All Electronics,2004-08,3.0833333333333335,8,Aug,2004
All Electronics,2004-09,4.0,10,Sep,2004
All Electronics,2004-10,3.8475,17,Oct,2004
All Electronics,2004-11,2.9845454545454544,16,Nov,2004
All Electronics,2004-12,3.5372222222222223,26,Dec,2004
All Electronics,2005-01,3.730769230769231,22,Jan,2005
All Electronics,2005-02,3.0,19,Feb,2005
All Electronics,2005-03,3.0416666666666665,13,Mar,2005
All Electronics,2005-04,3.9,16,Apr,2005
All Electronics,2005-05,3.2916666666666665,13,May,2005
All Electronics,2005-06,4.277777777777778,11,Jun,2005
All Electronics,2005-07,3.973684210526316,26,Jul,2005
All Electronics,2005-08,3.467391304347826,35,Aug,2005
All Electronics,2005-09,3.967391304347826,38,Sep,2005
All Electronics,2005-10,3.8945833333333333,38,Oct,2005
All Electronics,2005-11,3.0,16,Nov,2005
All Electronics,2005-12,3.572608695652174,27,Dec,2005
All Electronics,2006-01,3.4408333333333334,43,Jan,2006
All Electronics,2006-02,4.137272727272727,44,Feb,2006
All Electronics,2006-03,3.6703333333333332,66,Mar,2006
All Electronics,2006-04,4.357142857142857,18,Apr,2006
All Electronics,2006-05,3.0446666666666666,18,May,2006
All Electronics,2006-06,4.37,11,Jun,2006
All Electronics,2006-07,3.7576470588235296,29,Jul,2006
All Electronics,2006-08,4.021739130434782,33,Aug,2006
All Electronics,2006-09,3.823478260869565,38,Sep,2006
All Electronics,2006-10,3.7304347826086954,38,Oct,2006
All Electronics,2006-11,3.982142857142857,56,Nov,2006
All Electronics,2006-12,3.7992000000000004,38,Dec,2006
All Electronics,2007-01,3.866949152542373,152,Jan,2007
All Electronics,2007-02,3.793030303030303,63,Feb,2007
All Electronics,2007-03,4.0102,99,Mar,2007
All Electronics,2007-04,4.1961764705882345,56,Apr,2007
All Electronics,2007-05,3.7993181818181814,90,May,2007
All Electronics,2007-06,3.906296296296296,51,Jun,2007
All Electronics,2007-07,3.82,69,Jul,2007
All Electronics,2007-08,4.257575757575758,57,Aug,2007
All Electronics,2007-09,4.0546875,51,Sep,2007
All Electronics,2007-10,4.085675675675676,65,Oct,2007
All Electronics,2007-11,3.853947368421052,64,Nov,2007
All Electronics,2007-12,3.873333333333333,104,Dec,2007
All Electronics,2008-01,4.309347826086956,108,Jan,2008
All Electronics,2008-02,4.0126,100,Feb,2008
All Electronics,2008-03,3.9192500000000003,79,Mar,2008
All Electronics,2008-04,4.033673469387756,98,Apr,2008
All Electronics,2008-05,3.8756097560975613,76,May,2008
All Electronics,2008-06,3.6491111111111114,83,Jun,2008
All Electronics,2008-07,3.770714285714286,79,Jul,2008
All Electronics,2008-08,4.298260869565217,87,Aug,2008
All Electronics,2008-09,4.318235294117647,89,Sep,2008
All Electronics,2008-10,3.786078431372549,104,Oct,2008
All Electronics,2008-11,4.070943396226415,100,Nov,2008
All Electronics,2008-12,3.7752083333333335,97,Dec,2008
All Electronics,2009-01,3.985272727272727,135,Jan,2009
All Electronics,2009-02,3.813921568627451,111,Feb,2009
All Electronics,2009-03,3.8933999999999997,95,Mar,2009
All Electronics,2009-04,3.8224444444444443,83,Apr,2009
All Electronics,2009-05,3.933720930232558,83,May,2009
All Electronics,2009-06,3.804117647058823,78,Jun,2009
All Electronics,2009-07,3.8934210526315787,76,Jul,2009
All Electronics,2009-08,4.0520000000000005,70,Aug,2009
All Electronics,2009-09,4.010769230769231,103,Sep,2009
All Electronics,2009-10,3.704166666666667,84,Oct,2009
All Electronics,2009-11,3.825416666666667,98,Nov,2009
All Electronics,2009-12,3.957894736842105,123,Dec,2009
All Electronics,2010-01,4.0025,133,Jan,2010
All Electronics,2010-02,3.9997959183673473,102,Feb,2010
All Electronics,2010-03,3.9594736842105265,123,Mar,2010
All Electronics,2010-04,3.9741666666666666,105,Apr,2010
All Electronics,2010-05,3.682,79,May,2010
All Electronics,2010-06,3.6845833333333338,79,Jun,2010
All Electronics,2010-07,3.8198113207547166,96,Jul,2010
All Electronics,2010-08,4.116296296296296,119,Aug,2010
All Electronics,2010-09,3.9099999999999997,112,Sep,2010
All Electronics,2010-10,3.78125,92,Oct,2010
All Electronics,2010-11,4.041,127,Nov,2010
All Electronics,2010-12,3.7642622950819673,182,Dec,2010
All Electronics,2011-01,4.00671875,175,Jan,2011
All Electronics,2011-02,3.857450980392157,134,Feb,2011
All Electronics,2011-03,3.8665151515151517,137,Mar,2011
All Electronics,2011-04,3.991830985915493,150,Apr,2011
All Electronics,2011-05,3.8428358208955227,151,May,2011
All Electronics,2011-06,4.255490196078432,111,Jun,2011
All Electronics,2011-07,3.874406779661017,124,Jul,2011
All Electronics,2011-08,3.9816883116883113,154,Aug,2011
All Electronics,2011-09,3.7471641791044776,171,Sep,2011
All Electronics,2011-10,3.8576190476190475,143,Oct,2011
All Electronics,2011-11,4.00875,161,Nov,2011
All Electronics,2011-12,3.982,196,Dec,2011
All Electronics,2012-01,3.639325842696629,232,Jan,2012
All Electronics,2012-02,3.864927536231884,166,Feb,2012
All Electronics,2012-03,3.836363636363636,143,Mar,2012
All Electronics,2012-04,3.9334782608695655,139,Apr,2012
All Electronics,2012-05,3.918985507246377,137,May,2012
All Electronics,2012-06,3.809142857142857,138,Jun,2012
All Electronics,2012-07,3.842777777777778,160,Jul,2012
All Electronics,2012-08,3.9333766233766236,164,Aug,2012
All Electronics,2012-09,4.003717948717949,177,Sep,2012
All Electronics,2012-10,3.9628571428571426,193,Oct,2012
All Electronics,2012-11,3.7402127659574465,223,Nov,2012
All Electronics,2012-12,4.147042253521127,502,Dec,2012
All Electronics,2013-01,4.017703703703703,524,Jan,2013
All Electronics,2013-02,4.150642201834862,376,Feb,2013
All Electronics,2013-03,4.1284210526315785,433,Mar,2013
All Electronics,2013-04,3.97,377,Apr,2013
All Electronics,2013-05,4.048333333333334,352,May,2013
All Electronics,2013-06,3.938265306122449,288,Jun,2013
All Electronics,2013-07,3.951919191919192,322,Jul,2013
All Electronics,2013-08,3.8782857142857146,336,Aug,2013
All Electronics,2013-09,3.9201041666666665,282,Sep,2013
All Electronics,2013-10,4.088222222222222,268,Oct,2013
All Electronics,2013-11,3.734949494949495,298,Nov,2013
All Electronics,2013-12,3.982878787878788,500,Dec,2013
All Electronics,2014-01,3.811654676258993,569,Jan,2014
All Electronics,2014-02,3.9336220472440946,424,Feb,2014
All Electronics,2014-03,3.9454545454545458,367,Mar,2014
All Electronics,2014-04,3.9219469026548675,332,Apr,2014
All Electronics,2014-05,4.0626732673267325,327,May,2014
All Electronics,2014-06,3.9349999999999996,366,Jun,2014
All Electronics,2014-07,3.983153846153846,597,Jul,2014
All Electronics,2014-08,4.157735849056604,706,Aug,2014
All Electronics,2014-09,4.126993006993007,627,Sep,2014
All Electronics,2014-10,4.0355147058823535,643,Oct,2014
All Electronics,2014-11,4.1731654676259,648,Nov,2014
All Electronics,2014-12,3.8906508875739645,927,Dec,2014
All Electronics,2015-01,4.003423913043478,1191,Jan,2015
All Electronics,2015-02,4.0409392265193365,1099,Feb,2015
All Electronics,2015-03,4.056174496644295,1031,Mar,2015
All Electronics,2015-04,4.063928571428572,840,Apr,2015
All Electronics,2015-05,4.024771241830065,820,May,2015
All Electronics,2015-06,4.120857142857143,826,Jun,2015
All Electronics,2015-07,4.067654320987654,920,Jul,2015
All Electronics,2015-08,4.058944099378882,943,Aug,2015
All Electronics,2015-09,3.9558720930232556,860,Sep,2015
All Electronics,2015-10,3.9709090909090907,817,Oct,2015
All Electronics,2015-11,4.122108433734939,809,Nov,2015
All Electronics,2015-12,3.922485549132948,1129,Dec,2015
All Electronics,2016-01,4.077255813953489,1301,Jan,2016
All Electronics,2016-02,4.057440758293839,1143,Feb,2016
All Electronics,2016-03,4.093534482758621,1253,Mar,2016
All Electronics,2016-04,4.048071065989848,943,Apr,2016
All Electronics,2016-05,4.090540540540541,1044,May,2016
All Electronics,2016-06,3.9887394957983195,1113,Jun,2016
All Electronics,2016-07,4.039349593495935,1168,Jul,2016
All Electronics,2016-08,3.962212765957447,1083,Aug,2016
All Electronics,2016-09,4.076489795918367,1056,Sep,2016
All Electronics,2016-10,3.989032258064516,938,Oct,2016
All Electronics,2016-11,3.901904761904762,1146,Nov,2016
All Electronics,2016-12,3.974829721362229,1800,Dec,2016
All Electronics,2017-01,4.056055555555556,2091,Jan,2017
All Electronics,2017-02,3.9335782747603836,1439,Feb,2017
All Electronics,2017-03,4.009118457300275,3882,Mar,2017
All Electronics,2017-04,4.061780415430267,2143,Apr,2017
All Electronics,2017-05,4.023625377643504,2175,May,2017
All Electronics,2017-06,4.108446327683616,1687,Jun,2017
All Electronics,2017-07,3.934659685863874,1974,Jul,2017
All Electronics,2017-08,4.009615384615385,2224,Aug,2017
All Electronics,2017-09,4.0306718346253225,1722,Sep,2017
All Electronics,2017-10,4.1217616580310885,1747,Oct,2017
All Electronics,2017-11,3.863097949886105,2407,Nov,2017
All Electronics,2017-12,4.037100591715976,2979,Dec,2017
All Electronics,2018-01,4.004523396880416,4635,Jan,2018
All Electronics,2018-02,4.038738574040219,2998,Feb,2018
All Electronics,2018-03,4.047346938775511,3632,Mar,2018
All Electronics,2018-04,3.9873010380622835,3043,Apr,2018
All Electronics,2018-05,4.114128440366972,2651,May,2018
All Electronics,2018-06,4.075080213903743,2668,Jun,2018
All Electronics,2018-07,4.092926045016077,3304,Jul,2018
All Electronics,2018-08,4.009282296650718,3267,Aug,2018
All Electronics,2018-09,4.029237012987013,2835,Sep,2018
All Electronics,2018-10,4.0685714285714285,2915,Oct,2018
All Electronics,2018-11,4.101301059001513,3123,Nov,2018
All Electronics,2018-12,4.029550295857988,5342,Dec,2018
All Electronics,2019-01,4.104968220338983,7266,Jan,2019
All Electronics,2019-02,4.011600467289719,4794,Feb,2019
All Electronics,2019-03,4.121648230088495,5182,Mar,2019
All Electronics,2019-04,4.087084826762246,3961,Apr,2019
All Electronics,2019-05,4.095571587125416,4062,May,2019
All Electronics,2019-06,4.148732394366197,4547,Jun,2019
All Electronics,2019-07,4.079571948998178,6211,Jul,2019
All Electronics,2019-08,4.102431409649953,5475,Aug,2019
All Electronics,2019-09,4.125222868217054,4532,Sep,2019
All Electronics,2019-10,4.094659735349716,4774,Oct,2019
All Electronics,2019-11,4.099982638888889,5269,Nov,2019
All Electronics,2019-12,4.043802631578948,10351,Dec,2019
All Electronics,2020-01,4.059590504451038,12541,Jan,2020
All Electronics,2020-02,4.10375,8954,Feb,2020
All Electronics,2020-03,3.966118271417741,6908,Mar,2020
All Electronics,2020-04,3.805527156549521,6777,Apr,2020
All Electronics,2020-05,3.8726406035665297,8852,May,2020
All Electronics,2020-06,3.887491616364856,7738,Jun,2020
All Electronics,2020-07,3.954372574385511,8228,Jul,2020
